Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
CLM0000081,CUST0001716,VEH0001716,10000,2025-04-28,1
CLM0000082,CUST0001747,VEH0001747,10000,2025-07-14,1
CLM0000083,CUST0001804,VEH0001804,10000,2025-02-27,1
CLM0000084,CUST0001808,VEH0001808,10000,2025-03-14,1
CLM0000085,CUST0001809,VEH0001809,10000,2025-11-07,1
CLM0000086,CUST0001823,VEH0001823,10000,2025-03-14,1
CLM0000087,CUST0001852,VEH0001852,10000,2025-12-21,1
CLM0000088,CUST0001866,VEH0001866,10000,2026-01-31,1
CLM0000089,CUST0001882,VEH0001882,10000,2025-07-14,1
CLM0000090,CUST0001885,VEH0001885,10000,2025-01-13,1
CLM0000091,CUST0001913,VEH0001913,10000,2025-06-07,1
CLM0000092,CUST0001973,VEH0001973,10000,2025-05-07,1
CLM0000093,CUST0001990,VEH0001990,10000,2025-09-14,1
CLM0000094,CUST0002003,VEH0002003,10000,2026-02-27,1
CLM0000095,CUST0002093,VEH0002093,10000,2025-12-21,1
CLM0000096,CUST0002122,VEH0002122,10000,2025-10-14,1
CLM0000097,CUST0002133,VEH0002133,10000,2025-07-28,1
CLM0000098,CUST0002157,VEH0002157,10000,2025-09-21,1
CLM0000099,CUST0002181,VEH0002181,10000,2025-05-28,1
CLM0000100,CUST0002186,VEH0002186,10000,2026-02-24,1
CLM0000101,CUST0002207,VEH0002207,10000,2025-07-28,1
CLM0000102,CUST0002219,VEH0002219,10000,2025-09-21,1
CLM0000103,CUST0002232,VEH0002232,10000,2025-12-21,1
CLM0000104,CUST0002323,VEH0002323,10000,2025-07-14,1
CLM0000105,CUST0002384,VEH0002384,10000,2025-07-28,1
CLM0000106,CUST0002398,VEH0002398,10000,2025-10-28,1
CLM0000107,CUST0002411,VEH0002411,10000,2025-10-28,1
CLM0000108,CUST0002415,VEH0002415,10000,2025-06-07,1
CLM0000109,CUST0002416,VEH0002416,10000,2025-09-21,1
CLM0000110,CUST0002471,VEH0002471,10000,2025-11-21,1
CLM0000111,CUST0002486,VEH0002486,10000,2026-02-09,1
CLM0000112,CUST0002523,VEH0002523,10000,2025-04-14,1
CLM0000113,CUST0002532,VEH0002532,10000,2025-06-07,1
CLM0000114,CUST0002542,VEH0002542,10000,2025-03-14,1
CLM0000115,CUST0002564,VEH0002564,10000,2025-04-21,1
CLM0000116,CUST0002569,VEH0002569,10000,2025-11-14,1
CLM0000117,CUST0002584,VEH0002584,10000,2025-03-28,1
CLM0000118,CUST0002596,VEH0002596,10000,2025-04-14,1
CLM0000119,CUST0002608,VEH0002608,10000,2025-07-21,1
CLM0000120,CUST0002614,VEH0002614,10000,2025-01-20,1
CLM0000121,CUST0002615,VEH0002615,10000,2025-02-06,1
CLM0000122,CUST0002622,VEH0002622,10000,2025-10-07,1
CLM0000123,CUST0002624,VEH0002624,10000,2025-10-14,1
CLM0000124,CUST0002664,VEH0002664,10000,2025-08-14,1
CLM0000125,CUST0002676,VEH0002676,10000,2025-07-14,1
CLM0000126,CUST0002699,VEH0002699,10000,2025-06-07,1
CLM0000127,CUST0002737,VEH0002737,10000,2026-01-20,1
CLM0000128,CUST0002758,VEH0002758,10000,2025-09-21,1
CLM0000129,CUST0002779,VEH0002779,10000,2025-01-27,1
CLM0000130,CUST0002790,VEH0002790,10000,2026-01-05,1
CLM0000131,CUST0002791,VEH0002791,10000,2025-12-28,1
CLM0000132,CUST0002843,VEH0002843,10000,2026-02-09,1
CLM0000133,CUST0002863,VEH0002863,10000,2026-02-08,1
CLM0000134,CUST0002875,VEH0002875,10000,2025-09-07,1
CLM0000135,CUST0002887,VEH0002887,10000,2025-12-14,1
CLM0000136,CUST0002902,VEH0002902,10000,2025-02-06,1
CLM0000137,CUST0002921,VEH0002921,10000,2025-05-28,1
CLM0000138,CUST0002926,VEH0002926,10000,2025-05-21,1
CLM0000139,CUST0002946,VEH0002946,10000,2025-04-07,1
CLM0000140,CUST0002955,VEH0002955,10000,2026-01-18,1
CLM0000141,CUST0002960,VEH0002960,10000,2025-07-21,1
CLM0000142,CUST0002971,VEH0002971,10000,2025-06-21,1
CLM0000143,CUST0002986,VEH0002986,10000,2026-02-09,1
CLM0000144,CUST0003007,VEH0003007,10000,2025-03-14,1
CLM0000145,CUST0003021,VEH0003021,10000,2025-07-28,1
CLM0000146,CUST0003033,VEH0003033,10000,2025-01-27,1
CLM0000147,CUST0003036,VEH0003036,10000,2025-08-21,1
CLM0000148,CUST0003043,VEH0003043,10000,2025-05-21,1
CLM0000149,CUST0003077,VEH0003077,10000,2026-02-14,1
CLM0000150,CUST0003118,VEH0003118,10000,2025-03-07,1
CLM0000151,CUST0003206,VEH0003206,10000,2025-02-06,1
CLM0000152,CUST0003208,VEH0003208,10000,2025-01-27,1
CLM0000153,CUST0003218,VEH0003218,10000,2025-02-27,1
CLM0000154,CUST0003239,VEH0003239,10000,2025-02-13,1
CLM0000155,CUST0003283,VEH0003283,10000,2025-11-14,1
CLM0000156,CUST0003303,VEH0003303,10000,2025-12-14,1
CLM0000157,CUST0003327,VEH0003327,10000,2025-12-07,1
CLM0000158,CUST0003328,VEH0003328,10000,2025-09-14,1
CLM0000159,CUST0003331,VEH0003331,10000,2025-04-07,1
CLM0000160,CUST0003383,VEH0003383,10000,2025-12-14,1
CLM0000161,CUST0003386,VEH0003386,10000,2025-07-28,1
CLM0000162,CUST0003464,VEH0003464,10000,2025-02-20,1
CLM0000163,CUST0003489,VEH0003489,10000,2025-04-21,1
CLM0000164,CUST0003532,VEH0003532,10000,2025-09-28,1
CLM0000165,CUST0003571,VEH0003571,10000,2025-12-07,1
CLM0000166,CUST0003574,VEH0003574,10000,2026-02-23,1
CLM0000167,CUST0003598,VEH0003598,10000,2025-02-13,1
CLM0000168,CUST0003622,VEH0003622,10000,2025-11-14,1
CLM0000169,CUST0003694,VEH0003694,10000,2025-11-28,1
CLM0000170,CUST0003717,VEH0003717,10000,2025-10-14,1
CLM0000171,CUST0003737,VEH0003737,10000,2025-07-28,1
CLM0000172,CUST0003782,VEH0003782,10000,2025-11-07,1
CLM0000173,CUST0003831,VEH0003831,10000,2025-06-07,1
CLM0000174,CUST0003833,VEH0003833,10000,2025-02-13,1
CLM0000175,CUST0003838,VEH0003838,10000,2025-06-07,1
CLM0000176,CUST0003842,VEH0003842,10000,2025-04-14,1
CLM0000177,CUST0003887,VEH0003887,10000,2025-11-28,1
CLM0000178,CUST0003906,VEH0003906,10000,2025-02-06,1
CLM0000179,CUST0004009,VEH0004009,10000,2025-05-07,1
CLM0000180,CUST0004015,VEH0004015,10000,2025-07-07,1
CLM0000181,CUST0004030,VEH0004030,10000,2025-02-13,1
CLM0000182,CUST0004069,VEH0004069,10000,2025-03-14,1
CLM0000183,CUST0004095,VEH0004095,10000,2025-02-20,1
CLM0000184,CUST0004121,VEH0004121,10000,2025-11-21,1
CLM0000185,CUST0004127,VEH0004127,10000,2025-11-14,1
CLM0000186,CUST0004141,VEH0004141,10000,2025-06-28,1
CLM0000187,CUST0004230,VEH0004230,10000,2025-08-28,1
CLM0000188,CUST0004260,VEH0004260,10000,2025-11-14,1
CLM0000189,CUST0004267,VEH0004267,10000,2025-12-07,1
CLM0000190,CUST0004268,VEH0004268,10000,2025-10-07,1
CLM0000191,CUST0004274,VEH0004274,10000,2025-01-06,1
CLM0000192,CUST0004294,VEH0004294,10000,2026-02-23,1
CLM0000193,CUST0004298,VEH0004298,10000,2025-03-21,1
CLM0000194,CUST0004303,VEH0004303,10000,2025-03-14,1
CLM0000195,CUST0004311,VEH0004311,10000,2025-03-07,1
CLM0000196,CUST0004349,VEH0004349,10000,2025-05-07,1
CLM0000197,CUST0004381,VEH0004381,10000,2025-10-21,1
CLM0000198,CUST0004435,VEH0004435,10000,2025-03-14,1
CLM0000199,CUST0004448,VEH0004448,10000,2025-02-20,1
CLM0000200,CUST0004483,VEH0004483,10000,2025-01-27,1
CLM0000201,CUST0004487,VEH0004487,10000,2025-09-14,1
CLM0000202,CUST0004491,VEH0004491,10000,2025-04-14,1
CLM0000203,CUST0004492,VEH0004492,10000,2025-08-21,1
CLM0000204,CUST0004543,VEH0004543,10000,2025-12-21,1
CLM0000205,CUST0004559,VEH0004559,10000,2026-02-26,1
CLM0000206,CUST0004568,VEH0004568,10000,2025-04-07,1
CLM0000207,CUST0004601,VEH0004601,10000,2025-11-21,1
CLM0000208,CUST0004636,VEH0004636,10000,2026-02-01,1
CLM0000209,CUST0004650,VEH0004650,10000,2025-05-28,1
CLM0000210,CUST0004683,VEH0004683,10000,2026-01-24,1
CLM0000211,CUST0004684,VEH0004684,10000,2025-10-28,1
CLM0000212,CUST0004696,VEH0004696,10000,2025-08-14,1
CLM0000213,CUST0004699,VEH0004699,10000,2025-11-07,1
CLM0000214,CUST0004762,VEH0004762,10000,2026-01-21,1
CLM0000215,CUST0004803,VEH0004803,10000,2026-02-07,1
CLM0000216,CUST0004805,VEH0004805,10000,2025-02-06,1
CLM0000217,CUST0004810,VEH0004810,10000,2025-06-14,1
CLM0000218,CUST0004811,VEH0004811,10000,2025-02-27,1
CLM0000219,CUST0004818,VEH0004818,10000,2025-06-21,1
CLM0000220,CUST0004825,VEH0004825,10000,2025-10-14,1
CLM0000221,CUST0004829,VEH0004829,10000,2025-11-28,1
CLM0000222,CUST0004898,VEH0004898,10000,2025-02-20,1
CLM0000223,CUST0004926,VEH0004926,10000,2025-04-14,1
CLM0000224,CUST0004937,VEH0004937,10000,2025-06-07,1
CLM0000225,CUST0004956,VEH0004956,10000,2025-10-07,1
CLM0000226,CUST0004967,VEH0004967,10000,2026-01-28,1
CLM0000227,CUST0004976,VEH0004976,10000,2025-08-07,1
CLM0000228,CUST0004992,VEH0004992,10000,2025-03-14,1
CLM0000229,CUST0004999,VEH0004999,10000,2025-05-14,1
CLM0000230,CUST0005025,VEH0005025,10000,2026-01-07,1
CLM0000231,CUST0005038,VEH0005038,10000,2025-08-14,1
CLM0000232,CUST0005040,VEH0005040,10000,2026-02-13,1
CLM0000233,CUST0005089,VEH0005089,10000,2025-12-21,1
CLM0000234,CUST0005111,VEH0005111,10000,2025-08-28,1
CLM0000235,CUST0005122,VEH0005122,10000,2025-11-14,1
CLM0000236,CUST0005150,VEH0005150,10000,2025-04-14,1
CLM0000237,CUST0005163,VEH0005163,10000,2025-09-28,1
CLM0000238,CUST0005180,VEH0005180,10000,2026-02-05,1
CLM0000239,CUST0005252,VEH0005252,10000,2025-08-21,1
CLM0000240,CUST0005255,VEH0005255,10000,2025-06-28,1
CLM0000241,CUST0005287,VEH0005287,10000,2025-06-28,1
CLM0000242,CUST0005314,VEH0005314,10000,2026-02-20,1
CLM0000243,CUST0005352,VEH0005352,10000,2026-01-27,1
CLM0000244,CUST0005362,VEH0005362,10000,2025-10-14,1
CLM0000245,CUST0005363,VEH0005363,10000,2025-10-21,1
CLM0000246,CUST0005371,VEH0005371,10000,2025-08-28,1
CLM0000247,CUST0005403,VEH0005403,10000,2026-01-31,1
CLM0000248,CUST0005412,VEH0005412,10000,2025-07-21,1
CLM0000249,CUST0005421,VEH0005421,10000,2025-11-28,1
CLM0000250,CUST0005426,VEH0005426,10000,2025-06-28,1
CLM0000251,CUST0005453,VEH0005453,10000,2025-11-28,1
CLM0000252,CUST0005460,VEH0005460,10000,2026-01-07,1
CLM0000253,CUST0005478,VEH0005478,10000,2025-09-07,1
CLM0000254,CUST0005558,VEH0005558,10000,2025-12-28,1
CLM0000255,CUST0005579,VEH0005579,10000,2026-01-06,1
CLM0000256,CUST0005603,VEH0005603,10000,2025-05-28,1
CLM0000257,CUST0005614,VEH0005614,10000,2025-05-07,1
CLM0000258,CUST0005640,VEH0005640,10000,2025-02-27,1
CLM0000259,CUST0005659,VEH0005659,10000,2025-02-27,1
CLM0000260,CUST0005688,VEH0005688,10000,2026-02-20,1
CLM0000261,CUST0005710,VEH0005710,10000,2025-12-21,1
CLM0000262,CUST0005712,VEH0005712,10000,2026-01-16,1
CLM0000263,CUST0005731,VEH0005731,10000,2025-11-14,1
CLM0000264,CUST0005741,VEH0005741,10000,2025-02-20,1
CLM0000265,CUST0005749,VEH0005749,10000,2026-01-20,1
CLM0000266,CUST0005775,VEH0005775,10000,2025-05-28,1
CLM0000267,CUST0005780,VEH0005780,10000,2025-04-28,1
CLM0000268,CUST0005789,VEH0005789,10000,2026-02-03,1
CLM0000269,CUST0005805,VEH0005805,10000,2025-11-28,1
CLM0000270,CUST0005826,VEH0005826,10000,2025-03-21,1
CLM0000271,CUST0005827,VEH0005827,10000,2025-08-28,1
CLM0000272,CUST0005838,VEH0005838,10000,2025-10-28,1
CLM0000273,CUST0005840,VEH0005840,10000,2025-03-14,1
CLM0000274,CUST0005883,VEH0005883,10000,2025-08-07,1
CLM0000275,CUST0005884,VEH0005884,10000,2026-01-21,1
CLM0000276,CUST0005888,VEH0005888,10000,2025-11-07,1
CLM0000277,CUST0005905,VEH0005905,10000,2025-02-27,1
CLM0000278,CUST0005941,VEH0005941,10000,2025-05-07,1
CLM0000279,CUST0005960,VEH0005960,10000,2025-06-28,1
CLM0000280,CUST0006033,VEH0006033,10000,2025-02-20,1
CLM0000281,CUST0006102,VEH0006102,10000,2025-10-07,1
CLM0000282,CUST0006113,VEH0006113,10000,2025-12-14,1
CLM0000283,CUST0006123,VEH0006123,10000,2025-03-07,1
CLM0000284,CUST0006156,VEH0006156,10000,2025-11-14,1
CLM0000285,CUST0006323,VEH0006323,10000,2025-09-14,1
CLM0000286,CUST0006337,VEH0006337,10000,2025-08-28,1
CLM0000287,CUST0006342,VEH0006342,10000,2025-09-28,1
CLM0000288,CUST0006359,VEH0006359,10000,2026-02-14,1
CLM0000289,CUST0006376,VEH0006376,10000,2025-11-14,1
CLM0000290,CUST0006402,VEH0006402,10000,2025-07-21,1
CLM0000291,CUST0006411,VEH0006411,10000,2025-11-21,1
CLM0000292,CUST0006496,VEH0006496,10000,2025-06-14,1
CLM0000293,CUST0006503,VEH0006503,10000,2025-04-07,1
CLM0000294,CUST0006508,VEH0006508,10000,2025-03-21,1
CLM0000295,CUST0006519,VEH0006519,10000,2026-01-16,1
CLM0000296,CUST0006563,VEH0006563,10000,2025-05-28,1
CLM0000297,CUST0006594,VEH0006594,10000,2025-06-28,1
CLM0000298,CUST0006626,VEH0006626,10000,2025-05-21,1
CLM0000299,CUST0006637,VEH0006637,10000,2026-01-01,1
CLM0000300,CUST0006649,VEH0006649,10000,2025-12-21,1
CLM0000301,CUST0006671,VEH0006671,10000,2025-06-07,1
CLM0000302,CUST0006696,VEH0006696,10000,2025-08-21,1
CLM0000303,CUST0006720,VEH0006720,10000,2025-07-21,1
CLM0000304,CUST0006755,VEH0006755,10000,2025-07-14,1
CLM0000305,CUST0006759,VEH0006759,10000,2026-02-24,1
CLM0000306,CUST0006762,VEH0006762,10000,2025-06-07,1
CLM0000307,CUST0006767,VEH0006767,10000,2025-01-20,1
CLM0000308,CUST0006789,VEH0006789,10000,2025-05-07,1
CLM0000309,CUST0006795,VEH0006795,10000,2025-10-21,1
CLM0000310,CUST0006863,VEH0006863,10000,2026-02-14,1
CLM0000311,CUST0006892,VEH0006892,10000,2026-02-01,1
CLM0000312,CUST0006918,VEH0006918,10000,2025-12-14,1
CLM0000313,CUST0006935,VEH0006935,10000,2025-05-28,1
CLM0000314,CUST0006935,VEH0006935,10000,2026-02-02,2
CLM0000315,CUST0006986,VEH0006986,10000,2025-01-27,1
CLM0000316,CUST0007013,VEH0007013,10000,2025-12-21,1
CLM0000317,CUST0007049,VEH0007049,10000,2025-09-07,1
CLM0000318,CUST0007060,VEH0007060,10000,2025-09-14,1
CLM0000319,CUST0007088,VEH0007088,10000,2025-10-21,1
CLM0000320,CUST0007089,VEH0007089,10000,2025-06-28,1
CLM0000321,CUST0007110,VEH0007110,10000,2025-07-14,1
CLM0000322,CUST0007124,VEH0007124,10000,2025-11-21,1
CLM0000323,CUST0007163,VEH0007163,10000,2025-12-14,1
CLM0000324,CUST0007185,VEH0007185,10000,2025-04-07,1
CLM0000325,CUST0007189,VEH0007189,10000,2025-06-07,1
CLM0000326,CUST0007194,VEH0007194,10000,2025-06-28,1
CLM0000327,CUST0007224,VEH0007224,10000,2025-04-21,1
CLM0000328,CUST0007229,VEH0007229,10000,2026-02-10,1
CLM0000329,CUST0007249,VEH0007249,10000,2025-03-21,1
CLM0000330,CUST0007254,VEH0007254,10000,2025-10-28,1
CLM0000331,CUST0007317,VEH0007317,10000,2025-02-13,1
CLM0000332,CUST0007348,VEH0007348,10000,2025-07-14,1
CLM0000333,CUST0007379,VEH0007379,10000,2025-04-14,1
CLM0000334,CUST0007454,VEH0007454,10000,2025-02-27,1
CLM0000335,CUST0007460,VEH0007460,10000,2025-04-28,1
CLM0000336,CUST0007464,VEH0007464,10000,2025-04-28,1
CLM0000337,CUST0007488,VEH0007488,10000,2026-01-08,1
CLM0000338,CUST0007501,VEH0007501,10000,2025-04-28,1
CLM0000339,CUST0007506,VEH0007506,10000,2026-02-03,1
CLM0000340,CUST0007512,VEH0007512,10000,2026-01-24,1
CLM0000341,CUST0007544,VEH0007544,10000,2026-01-12,1
CLM0000342,CUST0007553,VEH0007553,10000,2025-06-21,1
CLM0000343,CUST0007567,VEH0007567,10000,2026-02-16,1
CLM0000344,CUST0007599,VEH0007599,10000,2026-02-11,1
CLM0000345,CUST0007609,VEH0007609,10000,2025-02-13,1
CLM0000346,CUST0007611,VEH0007611,10000,2025-09-21,1
CLM0000347,CUST0007639,VEH0007639,10000,2025-03-07,1
CLM0000348,CUST0007651,VEH0007651,10000,2025-05-07,1
CLM0000349,CUST0007656,VEH0007656,10000,2025-04-21,1
CLM0000350,CUST0007737,VEH0007737,10000,2026-01-24,1
CLM0000351,CUST0007745,VEH0007745,10000,2025-12-07,1
CLM0000352,CUST0007757,VEH0007757,10000,2025-04-07,1
CLM0000353,CUST0007859,VEH0007859,10000,2025-01-13,1
CLM0000354,CUST0007935,VEH0007935,10000,2025-07-14,1
CLM0000355,CUST0007939,VEH0007939,10000,2025-06-07,1
CLM0000356,CUST0007971,VEH0007971,10000,2026-02-24,1
CLM0000357,CUST0007985,VEH0007985,10000,2025-07-07,1
CLM0000358,CUST0007999,VEH0007999,10000,2026-02-21,1
CLM0000359,CUST0008057,VEH0008057,10000,2025-10-14,1
CLM0000360,CUST0008075,VEH0008075,10000,2025-10-14,1
CLM0000361,CUST0008088,VEH0008088,10000,2025-01-20,1
CLM0000362,CUST0008094,VEH0008094,10000,2025-09-07,1
CLM0000363,CUST0008115,VEH0008115,10000,2025-12-14,1
CLM0000364,CUST0008142,VEH0008142,10000,2025-09-14,1
CLM0000365,CUST0008145,VEH0008145,10000,2026-01-14,1
CLM0000366,CUST0008170,VEH0008170,10000,2025-05-21,1
CLM0000367,CUST0008178,VEH0008178,10000,2025-07-28,1
CLM0000368,CUST0008185,VEH0008185,10000,2025-02-06,1
CLM0000369,CUST0008227,VEH0008227,10000,2025-09-21,1
CLM0000370,CUST0008230,VEH0008230,10000,2025-05-07,1
CLM0000371,CUST0008243,VEH0008243,10000,2025-10-28,1
CLM0000372,CUST0008268,VEH0008268,10000,2025-11-14,1
CLM0000373,CUST0008287,VEH0008287,10000,2025-11-28,1
CLM0000374,CUST0008296,VEH0008296,10000,2025-01-13,1
CLM0000375,CUST0008298,VEH0008298,10000,2025-01-27,1
CLM0000376,CUST0008316,VEH0008316,10000,2025-12-21,1
CLM0000377,CUST0008327,VEH0008327,10000,2025-11-07,1
CLM0000378,CUST0008347,VEH0008347,10000,2025-11-07,1
CLM0000379,CUST0008369,VEH0008369,10000,2025-07-07,1
CLM0000380,CUST0008465,VEH0008465,10000,2025-11-07,1
CLM0000381,CUST0008485,VEH0008485,10000,2025-06-07,1
CLM0000382,CUST0008488,VEH0008488,10000,2025-03-21,1
CLM0000383,CUST0008497,VEH0008497,10000,2026-02-04,1
CLM0000384,CUST0008505,VEH0008505,10000,2025-03-14,1
CLM0000385,CUST0008544,VEH0008544,10000,2025-06-28,1
CLM0000386,CUST0008560,VEH0008560,10000,2025-10-21,1
CLM0000387,CUST0008635,VEH0008635,10000,2025-12-07,1
CLM0000388,CUST0008649,VEH0008649,10000,2025-03-07,1
CLM0000389,CUST0008655,VEH0008655,10000,2025-05-21,1
CLM0000390,CUST0008670,VEH0008670,10000,2025-07-14,1
CLM0000391,CUST0008698,VEH0008698,10000,2025-08-21,1
CLM0000392,CUST0008704,VEH0008704,10000,2025-06-14,1
CLM0000393,CUST0008721,VEH0008721,10000,2025-04-21,1
CLM0000394,CUST0008739,VEH0008739,10000,2025-05-14,1
CLM0000395,CUST0008740,VEH0008740,10000,2025-10-21,1
CLM0000396,CUST0008793,VEH0008793,10000,2025-05-21,1
CLM0000397,CUST0008819,VEH0008819,10000,2025-10-14,1
CLM0000398,CUST0008822,VEH0008822,10000,2026-02-03,1
CLM0000399,CUST0008862,VEH0008862,10000,2025-12-21,1
CLM0000400,CUST0008871,VEH0008871,10000,2026-02-04,1
CLM0000401,CUST0008886,VEH0008886,10000,2025-10-07,1
CLM0000402,CUST0008910,VEH0008910,10000,2026-02-08,1
CLM0000403,CUST0008956,VEH0008956,10000,2025-07-14,1
CLM0000404,CUST0008983,VEH0008983,10000,2025-09-14,1
CLM0000405,CUST0008988,VEH0008988,10000,2026-01-10,1
CLM0000406,CUST0009000,VEH0009000,10000,2025-02-20,1
CLM0000407,CUST0009001,VEH0009001,10000,2026-02-09,1
CLM0000408,CUST0009007,VEH0009007,10000,2025-01-20,1
CLM0000409,CUST0009025,VEH0009025,10000,2025-09-28,1
CLM0000410,CUST0009029,VEH0009029,10000,2026-01-19,1
CLM0000411,CUST0009035,VEH0009035,10000,2025-08-14,1
CLM0000412,CUST0009065,VEH0009065,10000,2025-02-20,1
CLM0000413,CUST0009070,VEH0009070,10000,2025-02-27,1
CLM0000414,CUST0009076,VEH0009076,10000,2025-08-28,1
CLM0000415,CUST0009090,VEH0009090,10000,2025-03-21,1
CLM0000416,CUST0009102,VEH0009102,10000,2025-04-07,1
CLM0000417,CUST0009114,VEH0009114,10000,2025-11-14,1
CLM0000418,CUST0009118,VEH0009118,10000,2026-01-13,1
CLM0000419,CUST0009161,VEH0009161,10000,2026-01-31,1
CLM0000420,CUST0009181,VEH0009181,10000,2025-09-28,1
CLM0000421,CUST0009189,VEH0009189,10000,2026-02-20,1
